"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
im_temp_blood_spillage,intramuscular_im_temperature_measure,,yesno,"101. Were Surfaces Contaminated With Blood Spillage Cleaned And Disinfected?",,,,,,,,,,,,,
im_temp_notes,intramuscular_im_temperature_measure,,notes,,,,,,,,,,,,,,
heatpad_session_date,min_inlab_heat_pad_therapy_session,,text,"1. Date Of In-Lab Heat Pad Therapy Visit",,,date_dmy,,,,,y,,,,,
heatpad_session,min_inlab_heat_pad_therapy_session,,yesno,"2. Did Participant Show To In-Lab Heat Pad Therapy Visit?",,,,,,,,y,,,,,
hetapad_session_notes,min_inlab_heat_pad_therapy_session,,notes,"2a. If Participant Did Not Show To In-Lab Heat Pad Therapy Visit Why Not?",,,,,,,"[heatpad_session] = '0'",y,,,,,
heatpad_log_collection,min_inlab_heat_pad_therapy_session,,yesno,"3. Was At Home Heat Pad Therapy Log Collected From Participant?",,,,,,,,y,,,,,
heatpad_log_complete,min_inlab_heat_pad_therapy_session,,yesno,"3a.  Was At Home Heat Pad Therapy Log Accurately Completed For All Corresponding Days?",,,,,,,"[heatpad_log_collection] = '1'",y,,,,,
heatpad_log_complete_notes,min_inlab_heat_pad_therapy_session,,notes,"3b. If No To Question 3a, Please Explain",,,,,,,"[heatpad_log_complete] = '0'",y,,,,,
heatpad_log_upload,min_inlab_heat_pad_therapy_session,,file,"3c. Upload Home Heat Session Log",,,,,,,"[heatpad_log_collection] = '1'",,,,,,
heatpad_log_upload_notes,min_inlab_heat_pad_therapy_session,,notes,"3d. If No To Question 3, Please Explain",,,,,,,"[heatpad_log_collection] = '0'",y,,,,,
heatpad_systolic_1,min_inlab_heat_pad_therapy_session,"1ST BLOOD PRESSURE READING (10min)",text,"7. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_1,min_inlab_heat_pad_therapy_session,,text,"8. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_1,min_inlab_heat_pad_therapy_session,,text,"9. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_1,min_inlab_heat_pad_therapy_session,,radio,"10. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_2,min_inlab_heat_pad_therapy_session,"2ND BLOOD PRESSURE READING (20min)",text,"11. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_2,min_inlab_heat_pad_therapy_session,,text,"12. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_2,min_inlab_heat_pad_therapy_session,,text,"13. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_2,min_inlab_heat_pad_therapy_session,,radio,"14. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_3,min_inlab_heat_pad_therapy_session,"3RD BLOOD PRESSURE READING (30min)",text,"15. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_3,min_inlab_heat_pad_therapy_session,,text,"16. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_3,min_inlab_heat_pad_therapy_session,,text,"17. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_3,min_inlab_heat_pad_therapy_session,,radio,"18. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_4,min_inlab_heat_pad_therapy_session,"4TH BLOOD PRESSURE READING (40min)",text,"19. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_4,min_inlab_heat_pad_therapy_session,,text,"20. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_4,min_inlab_heat_pad_therapy_session,,text,"21. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_4,min_inlab_heat_pad_therapy_session,,radio,"22. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_5,min_inlab_heat_pad_therapy_session,"5TH BLOOD PRESSURE READING (50min)",text,"23. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_5,min_inlab_heat_pad_therapy_session,,text,"24. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_5,min_inlab_heat_pad_therapy_session,,text,"25. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_5,min_inlab_heat_pad_therapy_session,,radio,"26. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_6,min_inlab_heat_pad_therapy_session,"6TH BLOOD PRESSURE READING (60min)",text,"27. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_6,min_inlab_heat_pad_therapy_session,,text,"28. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_6,min_inlab_heat_pad_therapy_session,,text,"29. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_6,min_inlab_heat_pad_therapy_session,,radio,"30. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_7,min_inlab_heat_pad_therapy_session,"7TH BLOOD PRESSURE READING (70min)",text,"31. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_7,min_inlab_heat_pad_therapy_session,,text,"32. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_7,min_inlab_heat_pad_therapy_session,,text,"33. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_7,min_inlab_heat_pad_therapy_session,,radio,"34. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_8,min_inlab_heat_pad_therapy_session,"8TH BLOOD PRESSURE READING (80min)",text,"35. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_8,min_inlab_heat_pad_therapy_session,,text,"36. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_8,min_inlab_heat_pad_therapy_session,,text,"37. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_8,min_inlab_heat_pad_therapy_session,,radio,"38. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_systolic_9,min_inlab_heat_pad_therapy_session,"9TH BLOOD PRESSURE READING (90min)",text,"39. Systolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_diastolic_9,min_inlab_heat_pad_therapy_session,,text,"40. Diastolic Measurment (mmHg)",,,,,,,,,,,,,
heatpad_hr_9,min_inlab_heat_pad_therapy_session,,text,"41. Pulse (Heart Rate) Measurment",,,,,,,,,,,,,
heatpad_position_9,min_inlab_heat_pad_therapy_session,,radio,"42. Position Of Participant During Blood Pressure Reading","1, Seated | 2, Supine",,,,,,,,,,,,
heatpad_comments,min_inlab_heat_pad_therapy_session,,notes,,,,,,,,,,,,,,
hiit1_date,highintensity_interval_training_hiit_session_1,,text,"1. Date Participant Performed High-Intensity Interval Training",,,date_dmy,,,,,y,,,,,
hiit1_time,highintensity_interval_training_hiit_session_1,,text,"2. Time Participant Performed High-Intensity Interval Training",,,time,,,,,y,,,,,
hiit1_bike_disinfected,highintensity_interval_training_hiit_session_1,,yesno,"3. Was Stationary Bike Sanitized/Disinfected Prior To Use?",,,,,,,,y,,,,,
hiit1_seat_rung,highintensity_interval_training_hiit_session_1,,text,"4. Which Rung Was Seat Height Adjusted To?",,,,,,,,y,,,,,
hiit1_hr,highintensity_interval_training_hiit_session_1,"WARM-UP PHASE (0min - 4:59min)",text,"5. HR (bpm)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit1_gear,highintensity_interval_training_hiit_session_1,,text,"6. Gear",,,,,,,,y,,,,,"Record Value At 4:45"
hiit1_watts,highintensity_interval_training_hiit_session_1,,text,"7. Watts",,,,,,,,y,,,,,
hiit1_rpe,highintensity_interval_training_hiit_session_1,,text,"8. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit1_hr_2,highintensity_interval_training_hiit_session_1,"EXERCISE PHASE 1 (5min - 8:59min)",text,"9. HR (bpm)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit1_gear_2,highintensity_interval_training_hiit_session_1,,text,"10. Gear",,,,,,,,y,,,,,"Record Value At 8:45"
hiit1_watts_2,highintensity_interval_training_hiit_session_1,,text,"11. Watts",,,,,,,,y,,,,,
hiit1_rpe_2,highintensity_interval_training_hiit_session_1,,text,"12. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit1_hr_3,highintensity_interval_training_hiit_session_1,"RECOVERY PHASE 1 (9min - 11:59min)",text,"13. HR (bpm)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit1_gear_3,highintensity_interval_training_hiit_session_1,,text,"14. Gear",,,,,,,,y,,,,,"Record Value At 11:45"
hiit1_watts_3,highintensity_interval_training_hiit_session_1,,text,"15. Watts",,,,,,,,y,,,,,
hiit1_rpe_3,highintensity_interval_training_hiit_session_1,,text,"16. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit1_hr_4,highintensity_interval_training_hiit_session_1,"EXERCISE PHASE 2 (12min - 15:59)",text,"17. HR (bpm)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit1_gear_4,highintensity_interval_training_hiit_session_1,,text,"18. Gear",,,,,,,,y,,,,,"Record Value At 15:45"
hiit1_watts_4,highintensity_interval_training_hiit_session_1,,text,"19. Watts",,,,,,,,y,,,,,
hiit1_rpe_4,highintensity_interval_training_hiit_session_1,,text,"20. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit1_hr_5,highintensity_interval_training_hiit_session_1,"RECOVERY PHASE 2 (16min - 18:59min)",text,"21. HR (bpm)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit1_gear_5,highintensity_interval_training_hiit_session_1,,text,"22. Gear",,,,,,,,y,,,,,"Record Value At 18:45"
hiit1_watts_5,highintensity_interval_training_hiit_session_1,,text,"23. Watts",,,,,,,,y,,,,,
hiit1_rpe_5,highintensity_interval_training_hiit_session_1,,text,"24. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit1_hr_6,highintensity_interval_training_hiit_session_1,"EXERCISE PHASE 3 (19min - 22:59)",text,"25. HR (bpm)",,,,,,,,y,,,,,"Record Value At 22:45"
hiit1_gear_6,highintensity_interval_training_hiit_session_1,,text,"26. Gear",,,,,,,,y,,,,,"Record Value At 22:45"
hiit1_watts_6,highintensity_interval_training_hiit_session_1,,text,"27. Watts",,,,,,,,y,,,,,
hiit1_rpe_6,highintensity_interval_training_hiit_session_1,,text,"28. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  22:45"
hiit1_hr_7,highintensity_interval_training_hiit_session_1,"RECOVERY PHASE 3 (23min - 25:59min)",text,"29. HR (bpm)",,,,,,,,y,,,,,"Record Value At 25:45"
hiit1_gear_7,highintensity_interval_training_hiit_session_1,,text,"30. Gear",,,,,,,,y,,,,,"Record Value At 25:45"
hiit1_watts_7,highintensity_interval_training_hiit_session_1,,text,"31. Watts",,,,,,,,y,,,,,
hiit1_rpe_7,highintensity_interval_training_hiit_session_1,,text,"32. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  25:45"
hiit1_hr_8,highintensity_interval_training_hiit_session_1,"EXERCISE PHASE 4 (26min - 29:59)",text,"33. HR (bpm)",,,,,,,,y,,,,,"Record Value At 29:45"
hiit1_gear_8,highintensity_interval_training_hiit_session_1,,text,"34. Gear",,,,,,,,y,,,,,"Record Value At 29:45"
hiit1_watts_8,highintensity_interval_training_hiit_session_1,,text,"35. Watts",,,,,,,,y,,,,,
hiit1_rpe_8,highintensity_interval_training_hiit_session_1,,text,"36. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  29:45"
hiit1_hr_9,highintensity_interval_training_hiit_session_1,"RECOVERY PHASE 4 (30min - 33:59min)",text,"37. HR (bpm)",,,,,,,,y,,,,,"Record Value At 33:45"
hiit1_gear_9,highintensity_interval_training_hiit_session_1,,text,"38. Gear",,,,,,,,y,,,,,"Record Value At 33:45"
hiit1_watts_9,highintensity_interval_training_hiit_session_1,,text,"39. Watts",,,,,,,,y,,,,,
hiit1_rpe_9,highintensity_interval_training_hiit_session_1,,text,"40. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  33:45"
hiit1_vo2_peak,highintensity_interval_training_hiit_session_1,,text,"41. Peak VO2 mL/kg/min",,,,,,,,y,,,,,"Take this value from the cpu screen"
hiit1_vo2_5060,highintensity_interval_training_hiit_session_1,,text,"42. 50% - 60% VO2 mL/kg/min",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.50 or 39.1*.60)"
hiit1_vo2_7075,highintensity_interval_training_hiit_session_1,,text,"43. 70% - 75% VO2 mL/kg/min",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.70 or 39.1*.75)"
hiit1_vo2_8085,highintensity_interval_training_hiit_session_1,,text,"44. 80% - 85% VO2 mL/kg/min",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.80 or 39.1*.85)"
hiit1_vo2_9095,highintensity_interval_training_hiit_session_1,,text,"45. 90% - 95% VO2 mL/kg/min",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.90 or 39.1*.95)"
hiit1_hr_peak,highintensity_interval_training_hiit_session_1,"Heart Rate (HR) bpm",text,"46. Peak HR bpm",,,,,,,,y,,,,,"Take value from cpu screen"
hiit1_hr_5060,highintensity_interval_training_hiit_session_1,,text,"47. 50% - 60% HR peak (bpm)",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit1_hr_7075,highintensity_interval_training_hiit_session_1,,text,"48. 70% - 75% HR peak (bpm)",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit1_hr_8085,highintensity_interval_training_hiit_session_1,,text,"49. 80% - 85% HR peak (bpm)",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit1_hr_9095,highintensity_interval_training_hiit_session_1,,text,"50. 90% - 95% HR peak (bpm)",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit1_notes,highintensity_interval_training_hiit_session_1,,notes,,,,,,,,,,,,,,
hiit2_date,highintensity_interval_training_hiit_session_2,,text,"1. Date Participant Performed High-Intensity Interval Training",,,date_dmy,,,,,y,,,,,
hiit2_time,highintensity_interval_training_hiit_session_2,,text,"2. Time Participant Performed High-Intensity Interval Training",,,time,,,,,y,,,,,
hiit2_bike_disinfected,highintensity_interval_training_hiit_session_2,,yesno,"3. Was Stationary Bike Sanitized/Disinfected Prior To Use?",,,,,,,,y,,,,,
hiit2_seat_rung,highintensity_interval_training_hiit_session_2,,text,"4. Which Rung Was Seat Height Adjusted To?",,,,,,,,y,,,,,
hiit2_hr,highintensity_interval_training_hiit_session_2,"WARM-UP PHASE (0min - 4:59min)",text,"5. HR (bpm)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit2_gear,highintensity_interval_training_hiit_session_2,,text,"6. Gear",,,,,,,,y,,,,,"Record Value At 4:45"
hiit2_watts,highintensity_interval_training_hiit_session_2,,text,"7. Watts",,,,,,,,y,,,,,
hiit2_rpe,highintensity_interval_training_hiit_session_2,,text,"8. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit2_hr_2,highintensity_interval_training_hiit_session_2,"EXERCISE PHASE 1 (5min - 8:59min)",text,"9. HR (bpm)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit2_gear_2,highintensity_interval_training_hiit_session_2,,text,"10. Gear",,,,,,,,y,,,,,"Record Value At 8:45"
hiit2_watts_2,highintensity_interval_training_hiit_session_2,,text,"11. Watts",,,,,,,,y,,,,,
hiit2_rpe_2,highintensity_interval_training_hiit_session_2,,text,"12. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit2_hr_3,highintensity_interval_training_hiit_session_2,"RECOVERY PHASE 1 (9min - 11:59min)",text,"13. HR (bpm)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit2_gear_3,highintensity_interval_training_hiit_session_2,,text,"14. Gear",,,,,,,,y,,,,,"Record Value At 11:45"
hiit2_watts_3,highintensity_interval_training_hiit_session_2,,text,"15. Watts",,,,,,,,y,,,,,
hiit2_rpe_3,highintensity_interval_training_hiit_session_2,,text,"16. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit2_hr_4,highintensity_interval_training_hiit_session_2,"EXERCISE PHASE 2 (12min - 15:59)",text,"17. HR (bpm)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit2_gear_4,highintensity_interval_training_hiit_session_2,,text,"18. Gear",,,,,,,,y,,,,,"Record Value At 15:45"
hiit2_watts_4,highintensity_interval_training_hiit_session_2,,text,"19. Watts",,,,,,,,y,,,,,
hiit2_rpe_4,highintensity_interval_training_hiit_session_2,,text,"20. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit2_hr_5,highintensity_interval_training_hiit_session_2,"RECOVERY PHASE 2 (16min - 18:59min)",text,"21. HR (bpm)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit2_gear_5,highintensity_interval_training_hiit_session_2,,text,"22. Gear",,,,,,,,y,,,,,"Record Value At 18:45"
hiit2_watts_5,highintensity_interval_training_hiit_session_2,,text,"23. Watts",,,,,,,,y,,,,,
hiit2_rpe_5,highintensity_interval_training_hiit_session_2,,text,"24. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit2_hr_6,highintensity_interval_training_hiit_session_2,"EXERCISE PHASE 3 (19min - 22:59)",text,"25. HR (bpm)",,,,,,,,y,,,,,"Record Value At 22:45"
hiit2_gear_6,highintensity_interval_training_hiit_session_2,,text,"26. Gear",,,,,,,,y,,,,,"Record Value At 22:45"
hiit2_watts_6,highintensity_interval_training_hiit_session_2,,text,"27. Watts",,,,,,,,y,,,,,
hiit2_rpe_6,highintensity_interval_training_hiit_session_2,,text,"28. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  22:45"
hiit2_hr_7,highintensity_interval_training_hiit_session_2,"RECOVERY PHASE 3 (23min - 25:59min)",text,"29. HR (bpm)",,,,,,,,y,,,,,"Record Value At 25:45"
hiit2_gear_7,highintensity_interval_training_hiit_session_2,,text,"30. Gear",,,,,,,,y,,,,,"Record Value At 25:45"
hiit2_watts_7,highintensity_interval_training_hiit_session_2,,text,"31. Watts",,,,,,,,y,,,,,
hiit2_rpe_7,highintensity_interval_training_hiit_session_2,,text,"32. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  25:45"
hiit2_hr_8,highintensity_interval_training_hiit_session_2,"EXERCISE PHASE 4 (26min - 29:59)",text,"33. HR (bpm)",,,,,,,,y,,,,,"Record Value At 29:45"
hiit2_gear_8,highintensity_interval_training_hiit_session_2,,text,"34. Gear",,,,,,,,y,,,,,"Record Value At 29:45"
hiit2_watts_8,highintensity_interval_training_hiit_session_2,,text,"35. Watts",,,,,,,,y,,,,,
hiit2_rpe_8,highintensity_interval_training_hiit_session_2,,text,"36. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  29:45"
hiit2_hr_9,highintensity_interval_training_hiit_session_2,"RECOVERY PHASE 4 (30min - 33:59min)",text,"37. HR (bpm)",,,,,,,,y,,,,,"Record Value At 33:45"
hiit2_gear_9,highintensity_interval_training_hiit_session_2,,text,"38. Gear",,,,,,,,y,,,,,"Record Value At 33:45"
hiit2_watts_9,highintensity_interval_training_hiit_session_2,,text,"39. Watts",,,,,,,,y,,,,,
hiit2_rpe_9,highintensity_interval_training_hiit_session_2,,text,"40. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  33:45"
hiit2_vo2_peak,highintensity_interval_training_hiit_session_2,,text,"41. Peak VO2 mL/kg/min",,,,,,,,y,,,,,"Take this value from the cpu screen"
hiit2_vo2_5060,highintensity_interval_training_hiit_session_2,,text,"42. 50% - 60% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit2_vo2_7075,highintensity_interval_training_hiit_session_2,,text,"43. 70% - 75% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit2_vo2_8085,highintensity_interval_training_hiit_session_2,,text,"44. 80% - 85% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit2_vo2_9095,highintensity_interval_training_hiit_session_2,,text,"45. 90% - 95% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit2_hr_peak,highintensity_interval_training_hiit_session_2,"Heart Rate (HR) bpm",text,"46. Peak HR bpm",,,,,,,,y,,,,,"Take value from cpu screen"
hiit2_hr_5060,highintensity_interval_training_hiit_session_2,,text,"47. 50% - 60% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.50 or 39.1*.60)"
hiit2_hr_7075,highintensity_interval_training_hiit_session_2,,text,"48. 70% - 75% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.70 or 39.1*.75)"
hiit2_hr_8085,highintensity_interval_training_hiit_session_2,,text,"49. 80% - 85% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.80 or 39.1*.85)"
hiit2_hr_9095,highintensity_interval_training_hiit_session_2,,text,"50. 90% - 95% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.90 or 39.1*.95)"
hiit2_notes,highintensity_interval_training_hiit_session_2,,notes,,,,,,,,,,,,,,
hiit3_date,highintensity_interval_training_hiit_session_3,,text,"1. Date Participant Performed High-Intensity Interval Training",,,date_dmy,,,,,y,,,,,
hiit3_time,highintensity_interval_training_hiit_session_3,,text,"2. Time Participant Performed High-Intensity Interval Training",,,time,,,,,y,,,,,
hiit3_bike_disinfected,highintensity_interval_training_hiit_session_3,,yesno,"3. Was Stationary Bike Sanitized/Disinfected Prior To Use?",,,,,,,,y,,,,,
hiit3_seat_rung,highintensity_interval_training_hiit_session_3,,text,"4. Which Rung Was Seat Height Adjusted To?",,,,,,,,y,,,,,
hiit3_hr,highintensity_interval_training_hiit_session_3,"WARM-UP PHASE (0min - 4:59min)",text,"5. HR (bpm)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit3_gear,highintensity_interval_training_hiit_session_3,,text,"6. Gear",,,,,,,,y,,,,,"Record Value At 4:45"
hiit3_watts,highintensity_interval_training_hiit_session_3,,text,"7. Watts",,,,,,,,y,,,,,
hiit3_rpe,highintensity_interval_training_hiit_session_3,,text,"8. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 4:45"
hiit3_hr_2,highintensity_interval_training_hiit_session_3,"EXERCISE PHASE 1 (5min - 8:59min)",text,"9. HR (bpm)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit3_gear_2,highintensity_interval_training_hiit_session_3,,text,"10. Gear",,,,,,,,y,,,,,"Record Value At 8:45"
hiit3_watts_2,highintensity_interval_training_hiit_session_3,,text,"11. Watts",,,,,,,,y,,,,,
hiit3_rpe_2,highintensity_interval_training_hiit_session_3,,text,"12. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 8:45"
hiit3_hr_3,highintensity_interval_training_hiit_session_3,"RECOVERY PHASE 1 (9min - 11:59min)",text,"13. HR (bpm)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit3_gear_3,highintensity_interval_training_hiit_session_3,,text,"14. Gear",,,,,,,,y,,,,,"Record Value At 11:45"
hiit3_watts_3,highintensity_interval_training_hiit_session_3,,text,"15. Watts",,,,,,,,y,,,,,
hiit3_rpe_3,highintensity_interval_training_hiit_session_3,,text,"16. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 11:45"
hiit3_hr_4,highintensity_interval_training_hiit_session_3,"EXERCISE PHASE 2 (12min - 15:59)",text,"17. HR (bpm)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit3_gear_4,highintensity_interval_training_hiit_session_3,,text,"18. Gear",,,,,,,,y,,,,,"Record Value At 15:45"
hiit3_watts_4,highintensity_interval_training_hiit_session_3,,text,"19. Watts",,,,,,,,y,,,,,
hiit3_rpe_4,highintensity_interval_training_hiit_session_3,,text,"20. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 15:45"
hiit3_hr_5,highintensity_interval_training_hiit_session_3,"RECOVERY PHASE 2 (16min - 18:59min)",text,"21. HR (bpm)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit3_gear_5,highintensity_interval_training_hiit_session_3,,text,"22. Gear",,,,,,,,y,,,,,"Record Value At 18:45"
hiit3_watts_5,highintensity_interval_training_hiit_session_3,,text,"23. Watts",,,,,,,,y,,,,,
hiit3_rpe_5,highintensity_interval_training_hiit_session_3,,text,"24. RPE (6-20)",,,,,,,,y,,,,,"Record Value At 18:45"
hiit3_hr_6,highintensity_interval_training_hiit_session_3,"EXERCISE PHASE 3 (19min - 22:59)",text,"25. HR (bpm)",,,,,,,,y,,,,,"Record Value At 22:45"
hiit3_gear_6,highintensity_interval_training_hiit_session_3,,text,"26. Gear",,,,,,,,y,,,,,"Record Value At 22:45"
hiit3_watts_6,highintensity_interval_training_hiit_session_3,,text,"27. Watts",,,,,,,,y,,,,,
hiit3_rpe_6,highintensity_interval_training_hiit_session_3,,text,"28. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  22:45"
hiit3_hr_7,highintensity_interval_training_hiit_session_3,"RECOVERY PHASE 3 (23min - 25:59min)",text,"29. HR (bpm)",,,,,,,,y,,,,,"Record Value At 25:45"
hiit3_gear_7,highintensity_interval_training_hiit_session_3,,text,"30. Gear",,,,,,,,y,,,,,"Record Value At 25:45"
hiit3_watts_7,highintensity_interval_training_hiit_session_3,,text,"31. Watts",,,,,,,,y,,,,,
hiit3_rpe_7,highintensity_interval_training_hiit_session_3,,text,"32. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  25:45"
hiit3_hr_8,highintensity_interval_training_hiit_session_3,"EXERCISE PHASE 4 (26min - 29:59)",text,"33. HR (bpm)",,,,,,,,y,,,,,"Record Value At 29:45"
hiit3_gear_8,highintensity_interval_training_hiit_session_3,,text,"34. Gear",,,,,,,,y,,,,,"Record Value At 29:45"
hiit3_watts_8,highintensity_interval_training_hiit_session_3,,text,"35. Watts",,,,,,,,y,,,,,
hiit3_rpe_8,highintensity_interval_training_hiit_session_3,,text,"36. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  29:45"
hiit3_hr_9,highintensity_interval_training_hiit_session_3,"RECOVERY PHASE 4 (30min - 33:59min)",text,"37. HR (bpm)",,,,,,,,y,,,,,"Record Value At 33:45"
hiit3_gear_9,highintensity_interval_training_hiit_session_3,,text,"38. Gear",,,,,,,,y,,,,,"Record Value At 33:45"
hiit3_watts_9,highintensity_interval_training_hiit_session_3,,text,"39. Watts",,,,,,,,y,,,,,
